id,i,we,you,shehe,they,ipron,PastM,PresentM,FutureM,ProgM,family,friend,humans,posemo,negemo,insight,cause,discrep,tentat,certain,inhib,incl,excl,see,hear,feel,body,health,sexual,ingest,label
23266217,0.002164502,0,0.001443001,0,0.000721501,0.012265512,0.005772006,0.010822511,0.006493506,0.01010101,0.001443001,0.000721501,0.010822511,0.012265512,0.006493506,0.031746032,0.017316017,0.011544012,0.021645022,0.005772006,0.01010101,0.05988456,0.01010101,0.011544012,0.003607504,0.012987013,0.01010101,0.001443001,0.000721501,0.049062049,1
98889,0.00152439,0,0,0,0,0.009146341,0,0.009146341,0.004573171,0,0,0,0.004573171,0.033536585,0.027439024,0.00304878,0.021341463,0.039634146,0.013719512,0.004573171,0.036585366,0.025914634,0.009146341,0.015243902,0,0.013719512,0.044207317,0.056402439,0,0.024390244,0
76275,0.004019293,0.006430868,0.01607717,0,0,0.008842444,0.000803859,0.006430868,0.008038585,0.008038585,0,0,0.031350482,0.024919614,0.00562701,0.036977492,0.025723473,0.025723473,0.019292605,0.016881029,0.004823151,0.039389068,0.02170418,0.025723473,0.001607717,0.007234727,0.033762058,0.030546624,0.011254019,0.045819936,0
311070,0,0,0.005979073,0.004484305,0.001494768,0.032884903,0,0.013452915,0.007473842,0.005979073,0,0,0.00896861,0.016442451,0.035874439,0.014947683,0.02690583,0.044843049,0.032884903,0.011958146,0.011958146,0.046337818,0.029895366,0.002989537,0,0.005979073,0.023916293,0.073243647,0.004484305,0.025411061,0
25215695,0,0,0,0.006993007,0,0.006993007,0,0.020979021,0.013986014,0.020979021,0,0,0,0.020979021,0.034965035,0.027972028,0,0.006993007,0.013986014,0.006993007,0.013986014,0.020979021,0.013986014,0.013986014,0.006993007,0,0,0.013986014,0,0,1
532061,0,0,0.047619048,0,0,0,0,0,0.047619048,0,0,0,0,0,0.047619048,0,0,0,0,0,0.047619048,0,0,0,0,0.047619048,0,0,0,0,0
99451,0.000798085,0.000798085,0.001596169,0,0,0.009577015,0.002394254,0.011173184,0.000798085,0.004788508,0,0,0.002394254,0.028731045,0.022346369,0.011971269,0.008778931,0.034317638,0.022346369,0.005586592,0.006384677,0.034317638,0.012769354,0.003990423,0.003990423,0.014365523,0.057462091,0.062250599,0.003192338,0.027932961,0
57630,0,0,0.009259259,0.009259259,0,0.074074074,0,0,0,0.018518519,0,0,0.027777778,0.037037037,0.018518519,0.037037037,0.037037037,0.027777778,0.018518519,0.009259259,0,0.027777778,0,0.018518519,0,0.018518519,0,0,0,0,0
27835,0.001584786,0,0.003169572,0,0,0.006339144,0.003169572,0.014263074,0.006339144,0.006339144,0.003169572,0,0.001584786,0.012678288,0.014263074,0.026941363,0.009508716,0.019017433,0.014263074,0.003169572,0.023771791,0.047543582,0.014263074,0.011093502,0.001584786,0.020602219,0.00792393,0.031695721,0,0.017432647,0
24671991,0.003215434,0.003215434,0.028938907,0.012861736,0.003215434,0.009646302,0.006430868,0.006430868,0.006430868,0.009646302,0,0,0.006430868,0.006430868,0.009646302,0,0.003215434,0.025723473,0.019292605,0,0.022508039,0.025723473,0.006430868,0.006430868,0.012861736,0,0.009646302,0,0.006430868,0,1
139743,0,0.002668446,0.006004003,0,0.002001334,0.028018679,0.000667111,0.005336891,0.006671114,0.016677785,0,0.000667111,0.010673783,0.01400934,0.016677785,0.023348899,0.016010674,0.036691127,0.029352902,0.003335557,0.006004003,0.042028019,0.026017345,0.00466978,0.008005337,0.020013342,0.035356905,0.034022682,0.004002668,0.028018679,0
19561,0.008363202,0.002389486,0.005973716,0.005973716,0.002389486,0.017921147,0.003584229,0.009557945,0.015531661,0.016726404,0.005973716,0,0.014336918,0.013142174,0.014336918,0.028673835,0.016726404,0.013142174,0.013142174,0.022700119,0.002389486,0.03823178,0.016726404,0.005973716,0.008363202,0.004778973,0.01911589,0.005973716,0,0.021505376,0
35251,0.002772643,0.005545287,0.004621072,0,0,0.021256932,0.005545287,0.011090573,0.003696858,0.00831793,0.000924214,0,0.009242144,0.011090573,0.028650647,0.024029575,0.037892791,0.030499076,0.01663586,0.009242144,0.024029575,0.045286506,0.01663586,0.00831793,0.004621072,0.011090573,0.009242144,0.014787431,0,0.027726433,0
25704693,0,0.00240096,0.003601441,0,0,0.008403361,0.006002401,0.014405762,0.007202881,0.006002401,0,0,0.004801921,0.015606242,0.009603842,0.026410564,0.020408163,0.014405762,0.025210084,0.006002401,0.013205282,0.037214886,0.019207683,0.013205282,0,0.00120048,0.003601441,0,0.00120048,0.00120048,1
529388,0,0,0,0,0,0.005819593,0.000969932,0.011639185,0.020368574,0,0.001939864,0,0.005819593,0.011639185,0.004849661,0.011639185,0.005819593,0.022308438,0.011639185,0.008729389,0.004849661,0.048496605,0.004849661,0.010669253,0,0.021338506,0.025218235,0.044616877,0.001939864,0.05528613,0
22502,0,0.006451613,0.019354839,0,0,0.019354839,0,0.006451613,0.019354839,0.04516129,0.019354839,0,0.038709677,0.038709677,0.012903226,0.04516129,0.006451613,0.038709677,0.032258065,0,0,0.051612903,0.006451613,0.032258065,0,0.019354839,0.006451613,0.019354839,0.006451613,0.025806452,0
23215875,0.050583658,0,0.023346304,0.023346304,0,0.003891051,0,0,0.003891051,0.046692607,0,0,0,0.019455253,0.019455253,0.050583658,0.003891051,0.023346304,0.011673152,0,0,0.038910506,0.019455253,0.007782101,0.007782101,0.007782101,0.015564202,0,0.015564202,0,1
231366,0.001893939,0.005681818,0.013257576,0,0,0.011363636,0.005681818,0.005681818,0.009469697,0.011363636,0,0,0.005681818,0.018939394,0.017045455,0.022727273,0.028409091,0.028409091,0.018939394,0.003787879,0.013257576,0.047348485,0.024621212,0.005681818,0.003787879,0.005681818,0.003787879,0.007575758,0,0.03030303,0
209870,0,0.059701493,0,0,0,0,0,0,0.014925373,0,0,0,0,0.014925373,0,0.014925373,0.014925373,0.014925373,0,0.014925373,0,0.074626866,0.014925373,0.029850746,0,0.014925373,0.014925373,0,0,0,0
198376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0
277835,0,0.045454545,0,0,0,0.045454545,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0.045454545,0,0,0,0.045454545,0.045454545,0,0,0,0
533515,0.002883922,0.010093727,0,0.000720981,0,0.014419611,0.002883922,0.011535689,0.008651766,0.012256669,0.017303533,0,0.022350397,0.011535689,0.015861572,0.041816871,0.028839221,0.037490988,0.031723143,0.016582552,0.007930786,0.059120404,0.023071377,0.01369863,0.004325883,0.002162942,0.017303533,0.049026676,0.005767844,0.019466474,0
369530,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0,0
58780,0.007905138,0.003952569,0.005928854,0.002964427,0,0.011857708,0.001976285,0.001976285,0.008893281,0.011857708,0.000988142,0,0.014822134,0.023715415,0.023715415,0.031620553,0.030632411,0.028656126,0.023715415,0.005928854,0.014822134,0.048418972,0.014822134,0.004940711,0,0.002964427,0.006916996,0.03458498,0.000988142,0.020750988,0
49139,0.005714286,0,0.028571429,0,0,0,0,0.005714286,0.022857143,0.011428571,0,0,0.011428571,0.04,0.005714286,0.051428571,0.017142857,0.034285714,0.028571429,0.04,0.005714286,0.028571429,0.017142857,0.08,0,0,0,0,0.017142857,0,0
16416,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338689,0,0.00269179,0.00269179,0,0,0.020188425,0,0.01884253,0.00269179,0.00538358,0,0,0.00807537,0.01884253,0.02960969,0.01615074,0.017496635,0.02422611,0.01615074,0.01076716,0.01345895,0.059219381,0.01345895,0.00269179,0,0.01884253,0.049798116,0.030955585,0.00269179,0.02153432,0
34533,0.002699055,0.001349528,0.009446694,0.001349528,0,0.029689609,0.005398111,0.004048583,0.008097166,0.035087719,0.006747638,0,0.020242915,0.013495277,0.029689609,0.053981107,0.021592443,0.021592443,0.012145749,0.010796221,0.006747638,0.026990553,0.039136302,0.010796221,0.001349528,0.009446694,0.021592443,0.024291498,0.001349528,0.026990553,0
25649101,0.004683841,0,0.003512881,0,0,0.007025761,0.004683841,0.012880562,0.014051522,0.003512881,0,0,0.008196721,0.016393443,0.008196721,0.010538642,0.015222482,0.005854801,0.016393443,0.009367681,0.015222482,0.037470726,0.009367681,0.007025761,0.00234192,0.004683841,0.005854801,0,0.00234192,0,1
